app_version,participant_id,index,sequence,video_a,video_b,choice,selected_video,time_used_seconds,timestamp
pilot,20260722_204900_1,22,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_file_size_4x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,B,TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,102.99,2026-07-23T18:39:04.055245
pilot,20260722_204900_1,23,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_file_size_256x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_file_size_256x_pointcloud_10s.mp4,A,TicTacToe_take2_frame00586_same_file_size_256x_3dgs_10s.mp4,1248.37,2026-07-23T18:59:54.642617
pilot,20260722_204900_1,24,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_file_size_32x_pointcloud_10s.mp4,A,TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,462.11,2026-07-23T19:07:38.464876
pilot,20260722_204900_1,25,Sign_take2_frame00503,Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_256x_pointcloud_10s.mp4,A,Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,17.06,2026-07-23T19:07:56.974982
pilot,20260722_204900_1,26,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_4x_3dgs_10s.mp4,A,TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,266.26,2026-07-23T19:12:24.874868
pilot,20260722_204900_1,27,Sign_take2_frame00503,Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_32x_pointcloud_10s.mp4,A,Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,19.12,2026-07-23T19:12:45.722721
pilot,20260722_204900_1,28,BouncingBlue_frame00518,BouncingBlue_frame00518_same_file_size_256x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,B,BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,68.56,2026-07-23T19:13:55.974061
pilot,20260722_204900_1,29,NelliSport2_frame00589,NelliSport2_frame00589_same_file_size_4x_pointcloud_10s.mp4,NelliSport2_frame00589_same_file_size_4x_3dgs_10s.mp4,B,NelliSport2_frame00589_same_file_size_4x_3dgs_10s.mp4,205.95,2026-07-23T19:17:23.301679
pilot,20260722_204900_1,30,OverallBall_take1_frame00492,OverallBall_take1_frame00492_same_NoP_4x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_NoP_4x_3dgs_10s.mp4,A,OverallBall_take1_frame00492_same_NoP_4x_pointcloud_10s.mp4,62.61,2026-07-23T19:18:27.171554
pilot,20260722_204900_1,31,NelliSport2_frame00589,NelliSport2_frame00589_same_NoP_256x_pointcloud_10s.mp4,NelliSport2_frame00589_same_NoP_256x_3dgs_10s.mp4,B,NelliSport2_frame00589_same_NoP_256x_3dgs_10s.mp4,881.37,2026-07-23T19:33:10.259782
pilot,20260722_204900_1,32,BouncingBlue_frame00518,BouncingBlue_frame00518_same_file_size_32x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,B,BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,80.65,2026-07-23T19:34:32.470444
pilot,20260722_204900_1,33,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_NoP_256x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,B,TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,59.76,2026-07-23T19:35:36.718113
pilot,20260722_204900_1,34,NelliSport2_frame00589,NelliSport2_frame00589_same_NoP_4x_3dgs_10s.mp4,NelliSport2_frame00589_same_NoP_4x_pointcloud_10s.mp4,B,NelliSport2_frame00589_same_NoP_4x_pointcloud_10s.mp4,96.45,2026-07-23T19:37:14.266218
pilot,20260722_204900_1,35,Sign_take2_frame00503,Sign_take2_frame00503_same_file_size_256x_pointcloud_10s.mp4,Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,B,Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,16.19,2026-07-23T19:37:31.897343
