trial_id,sequence,criterion,regime,pair_description,pc_factor,gs_factor,pc_video,gs_video,pc_size_mb,gs_size_mb,pc_primitive_count,gs_primitive_count,source_pc_video,source_gs_video,source_pc_ply,source_gs_ply
trial_11_Sign_take2_frame00503_same_NoP_32x,Sign_take2_frame00503,same primitive count,same_NoP,Sign_take2_frame00503 same_NoP: PC 32x vs 3DGS 32x,32x,32x,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_32x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,1.841,16.096,71510,71510,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_32x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/Sign_take2/Sign_take2_frame00503_same_NoP_32x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/Sign_take2/Sign_take2_frame00503_same_NoP_32x_3dgs.ply
trial_12_Sign_take2_frame00503_same_file_size_32x,Sign_take2_frame00503,same file size,same_file_size,Sign_take2_frame00503 same_file_size: PC 32x vs 3DGS 32x,32x,32x,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_32x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_32x_3dgs_10s.mp4,0.211,1.843,8181,8181,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_32x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_32x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/Sign_take2/Sign_take2_frame00503_same_file_size_32x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/Sign_take2/Sign_take2_frame00503_same_file_size_32x_3dgs.ply
trial_13_Sign_take2_frame00503_same_NoP_256x,Sign_take2_frame00503,same primitive count,same_NoP,Sign_take2_frame00503 same_NoP: PC 256x vs 3DGS 256x,256x,256x,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,0.23,2.013,8938,8938,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/Sign_take2/Sign_take2_frame00503_same_NoP_256x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/Sign_take2/Sign_take2_frame00503_same_NoP_256x_3dgs.ply
trial_14_Sign_take2_frame00503_same_file_size_256x,Sign_take2_frame00503,same file size,same_file_size,Sign_take2_frame00503 same_file_size: PC 256x vs 3DGS 256x,256x,256x,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_256x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,0.027,0.232,1023,1023,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_256x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/Sign_take2/Sign_take2_frame00503_same_file_size_256x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/Sign_take2/Sign_take2_frame00503_same_file_size_256x_3dgs.ply
trial_15_TicTacToe_take2_frame00586_same_NoP_original,TicTacToe_take2_frame00586,same primitive count,same_NoP,TicTacToe_take2_frame00586 same_NoP: PC original vs 3DGS original,original,original,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_original_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_original_3dgs_10s.mp4,101.232,884.843,3931455,3931455,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_original_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_original_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_original_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_original_3dgs.ply
trial_16_TicTacToe_take2_frame00586_same_NoP_4x,TicTacToe_take2_frame00586,same primitive count,same_NoP,TicTacToe_take2_frame00586 same_NoP: PC 4x vs 3DGS 4x,4x,4x,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_4x_3dgs_10s.mp4,25.308,221.212,982863,982863,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_4x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_4x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_4x_3dgs.ply
trial_17_TicTacToe_take2_frame00586_same_file_size_4x,TicTacToe_take2_frame00586,same file size,same_file_size,TicTacToe_take2_frame00586 same_file_size: PC 4x vs 3DGS 4x,4x,4x,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,2.896,25.309,112446,112446,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_4x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_4x_3dgs.ply
trial_18_TicTacToe_take2_frame00586_same_NoP_32x,TicTacToe_take2_frame00586,same primitive count,same_NoP,TicTacToe_take2_frame00586 same_NoP: PC 32x vs 3DGS 32x,32x,32x,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_32x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_32x_3dgs_10s.mp4,3.164,27.652,122857,122857,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_32x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_32x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_32x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_32x_3dgs.ply
trial_19_TicTacToe_take2_frame00586_same_file_size_32x,TicTacToe_take2_frame00586,same file size,same_file_size,TicTacToe_take2_frame00586 same_file_size: PC 32x vs 3DGS 32x,32x,32x,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_32x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,0.362,3.165,14056,14056,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_32x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_32x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_file_size_32x_3dgs.ply
trial_20_TicTacToe_take2_frame00586_same_NoP_256x,TicTacToe_take2_frame00586,same primitive count,same_NoP,TicTacToe_take2_frame00586 same_NoP: PC 256x vs 3DGS 256x,256x,256x,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,0.396,3.458,15357,15357,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_256x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_256x_3dgs.ply
